city,population,wiki,parent,manual
Gömörszőlős,"71,00",https://hu.wikipedia.org/wiki/Gömörszőlős,,
Cserhátszentiván,"108,00",https://hu.wikipedia.org/wiki/Cserhátszentiván,,
Apácatorna,"139,00",https://hu.wikipedia.org/wiki/Apácatorna,,
Alsótold,"231,00",https://hu.wikipedia.org/wiki/Alsótold,,
Bozzai,"291,00",https://hu.wikipedia.org/wiki/Bozzai,,
Zalaistvánd,"337,00",https://hu.wikipedia.org/wiki/Zalaistvánd,,
Hercegszentmárton,"394,00",https://hu.wikipedia.org/wiki/Hercegszentmárton,,
Nyírlak,"428,00",http://hu.wikipedia.org/wiki/Zalagy%C3%B6m%C3%B6r%C5%91,,
Balatonújlak,"445,00",https://hu.wikipedia.org/wiki/Balatonújlak,,
Krasznokvajda,"457,00",https://hu.wikipedia.org/wiki/Krasznokvajda,,
Barskisfalud,"463,00",https://hu.wikipedia.org/wiki/Barskisfalud,,
Alsóújlak,"546,00",https://hu.wikipedia.org/wiki/Alsóújlak,,
Mersevát,"554,00",https://hu.wikipedia.org/wiki/Mersevát,,
Kisfalud,"664,00",http://hu.wikipedia.org/wiki/Kisfalud_(Gy%C5%91r-Moson-Sopron_v%C3%A1rmegye),,
Kiszető,"674,00",https://hu.wikipedia.org/wiki/Kiszető,,
Nova,"742,00",http://hu.wikipedia.org/wiki/Nova_(telep%C3%BCl%C3%A9s),,
Gánt,"745,00",https://hu.wikipedia.org/wiki/Gánt,,
Magyarlak,"761,00",https://hu.wikipedia.org/wiki/Magyarlak,,
Balogfala,"780,00",https://hu.wikipedia.org/wiki/Balogfala,,
Értarcsa,"873,00",https://hu.wikipedia.org/wiki/Értarcsa,,
Doborján,"895,00",https://hu.wikipedia.org/wiki/Doborján,,
Agyagosszergény,"936,00",https://hu.wikipedia.org/wiki/Agyagosszergény,,
Vesszős,"1 028,00",https://hu.wikipedia.org/wiki/Vesszős,,
Tótkeszi?,"1 048,00",https://hu.wikipedia.org/wiki/Magyarkeszi,,
Máza,"1 110,00",https://hu.wikipedia.org/wiki/Máza,,
Nagykamarás,"1 114,00",https://hu.wikipedia.org/wiki/Nagykamarás,,
Lakszakállas,"1 203,00",https://hu.wikipedia.org/wiki/Lakszakállas,,
Ugod,"1 241,00",https://hu.wikipedia.org/wiki/Ugod,,
Tetétlen,"1 245,00",https://hu.wikipedia.org/wiki/Tetétlen,,
Zebegény,"1 286,00",https://hu.wikipedia.org/wiki/Zebegény,,
Nádasd,"1 289,00",https://hu.wikipedia.org/wiki/Nádasd,,
Látrány,"1 365,00",https://hu.wikipedia.org/wiki/Látrány,,
Buzsák,"1 383,00",https://hu.wikipedia.org/wiki/Buzsák,,
Sopronkövesd,"1 388,00",https://hu.wikipedia.org/wiki/Sopronkövesd,,
Kőröshegy,"1 393,00",https://hu.wikipedia.org/wiki/Kőröshegy,,
Kurityán,"1 471,00",https://hu.wikipedia.org/wiki/Kurityán,,
Sajóörös,"1 490,00",https://hu.wikipedia.org/wiki/Sajóörös,,
Hercegszántó,"1 645,00",https://hu.wikipedia.org/wiki/Hercegszántó,,
Taszár,"1 732,00",https://hu.wikipedia.org/wiki/Taszár,,
Bercel,"1 747,00",https://hu.wikipedia.org/wiki/Bercel,,
Székelyfalva,"1 755,00",https://hu.wikipedia.org/wiki/Székelyfalva,,
Lábod,"1 759,00",https://hu.wikipedia.org/wiki/Lábod,,
Anarcs,"1 835,00",https://hu.wikipedia.org/wiki/Anarcs,,
Nagyszentjános,"1 887,00",https://hu.wikipedia.org/wiki/Nagyszentjános,,
Muzsla,"1 912,00",http://hu.wikipedia.org/wiki/Muzsla_(telep%C3%BCl%C3%A9s),,
Ősi,"1 965,00",https://hu.wikipedia.org/wiki/Ősi,,
Tiszapüspöki,"1 981,00",https://hu.wikipedia.org/wiki/Tiszapüspöki,,
Ürmös,"2 045,00",https://hu.wikipedia.org/wiki/Ürmös,,
Jászdózsa,"2 050,00",https://hu.wikipedia.org/wiki/Jászdózsa,,
Mehádia,"2 093,00",https://hu.wikipedia.org/wiki/Mehádia,,
Gara,"2 110,00",http://hu.wikipedia.org/wiki/Gara_(Magyarorsz%C3%A1g),,
Perbál,"2 122,00",https://hu.wikipedia.org/wiki/Perbál,,
Szigetújfalu,"2 183,00",https://hu.wikipedia.org/wiki/Szigetújfalu,,
Martonos,"2 183,00",https://hu.wikipedia.org/wiki/Martonos,,
Jánosháza,"2 325,00",https://hu.wikipedia.org/wiki/Jánosháza,,
Reviga,"2 373,00",https://en.wikipedia.org/wiki/Reviga,,
Kovászi,"2 494,00",https://hu.wikipedia.org/wiki/Kovászi,,
Ják,"2 512,00",https://hu.wikipedia.org/wiki/Ják,,
Csanytelek,"2 537,00",https://hu.wikipedia.org/wiki/Csanytelek,,
Vál,"2 558,00",https://hu.wikipedia.org/wiki/Vál,,
Porcsalma,"2 576,00",https://hu.wikipedia.org/wiki/Porcsalma,,
Andornaktálya,"2 645,00",https://hu.wikipedia.org/wiki/Andornaktálya,,
Nagygencs,"2 658,00",https://hu.wikipedia.org/wiki/Nagygencs,,
Pilisszántó,"2 688,00",https://hu.wikipedia.org/wiki/Pilisszántó,,
Tarján,"2 756,00",http://hu.wikipedia.org/wiki/Tarj%C3%A1n_(telep%C3%BCl%C3%A9s),,
Jászjákóhalma,"2 802,00",https://hu.wikipedia.org/wiki/Jászjákóhalma,,
Lengyeltóti,"2 876,00",https://hu.wikipedia.org/wiki/Lengyeltóti,,
Podivin,"2 974,00",https://en.wikipedia.org/wiki/Podivin,,
Szepesszombat,"2 979,00",https://hu.wikipedia.org/wiki/Szepesszombat,,
Sárszentmihály,"3 004,00",https://hu.wikipedia.org/wiki/Sárszentmihály,,
Ecséd,"3 067,00",https://hu.wikipedia.org/wiki/Ecséd,,
Kakucs,"3 150,00",https://hu.wikipedia.org/wiki/Kakucs,,
Gönyü,"3 230,00",https://hu.wikipedia.org/wiki/G%C3%B6ny%C5%B1,,
Vencsellő,"3 286,00",https://hu.wikipedia.org/wiki/Vencsellő,,
Budafok-Kelenvölgy,"3 447,00",https://hu.wikipedia.org/wiki/Kelenv%C3%B6lgy,,
Simontornya,"3 581,00",https://hu.wikipedia.org/wiki/Simontornya,,
Bóly,"3 713,00",https://hu.wikipedia.org/wiki/Bóly,,
Vasvár,"3 946,00",https://hu.wikipedia.org/wiki/Vasvár,,
Tóalmás,"3 990,00",https://hu.wikipedia.org/wiki/Tóalmás,,
Kápolnásnyék,"4 060,00",https://hu.wikipedia.org/wiki/Kápolnásnyék,,
Rakamaz,"4 179,00",https://hu.wikipedia.org/wiki/Rakamaz,,
Devecser,"4 200,00",https://hu.wikipedia.org/wiki/Devecser,,
Elek,"4 246,00",http://hu.wikipedia.org/wiki/Elek_(telep%C3%BCl%C3%A9s),,
Szilágycseh,"4 289,00",https://hu.wikipedia.org/wiki/Szilágycseh,,
Stájerlakanina,"4 383,00",https://hu.wikipedia.org/wiki/Stájerlakanina,,
Mezőhegyes,"4 393,00",https://hu.wikipedia.org/wiki/Mezőhegyes,,
Nagyszénás,"4 416,00",https://hu.wikipedia.org/wiki/Nagyszénás,,
Hévíz,"4 509,00",https://hu.wikipedia.org/wiki/Hévíz,,
Bezdán,"4 623,00",https://hu.wikipedia.org/wiki/Bezdán,,
Újkígyós,"4 683,00",https://hu.wikipedia.org/wiki/Újkígyós,,
Barót,"4 753,00",https://hu.wikipedia.org/wiki/Barót,,
Füzesgyarmat,"4 959,00",https://hu.wikipedia.org/wiki/Füzesgyarmat,,
Battonya,"4 966,00",https://hu.wikipedia.org/wiki/Battonya,,
Kunmadaras,"4 989,00",https://hu.wikipedia.org/wiki/Kunmadaras,,
Balatonlelle,"5 018,00",https://hu.wikipedia.org/wiki/Balatonlelle,,
Nagymaros,"5 085,00",https://hu.wikipedia.org/wiki/Nagymaros,,
Nagyhalász,"5 329,00",https://hu.wikipedia.org/wiki/Nagyhalász,,
Mezőkovácsháza,"5 335,00",https://hu.wikipedia.org/wiki/Mezőkovácsháza,,
Alsónémedi,"5 552,00",https://hu.wikipedia.org/wiki/Alsónémedi,,
Kisbér,"5 554,00",https://hu.wikipedia.org/wiki/Kisbér,,
Rajka,"5 630,00",https://hu.wikipedia.org/wiki/Rajka,,
Zalaszentgrót,"5 775,00",https://hu.wikipedia.org/wiki/Zalaszentgrót,,
Tápiószele,"5 928,00",https://hu.wikipedia.org/wiki/Tápiószele,,
Erzsébetfalva,"5 990,00",http://hu.wikipedia.org/wiki/Solt_(telep%C3%BCl%C3%A9s),,
Putnok,"6 363,00",https://hu.wikipedia.org/wiki/Putnok,,
Wilhelmsburg,"6 557,00",http://hu.wikipedia.org/wiki/Wilhelmsburg_(Ausztria),,
Cinkota,"6 587,00",https://hu.wikipedia.org/wiki/Cinkota,,
Dévaványa,"6 719,00",https://hu.wikipedia.org/wiki/Dévaványa,,
Kistelek,"7 039,00",https://hu.wikipedia.org/wiki/Kistelek,,
Füzesabony,"7 170,00",https://hu.wikipedia.org/wiki/Füzesabony,,
Jászárokszállás,"7 499,00",https://hu.wikipedia.org/wiki/Jászárokszállás,,
Tura,"7 735,00",https://hu.wikipedia.org/wiki/Tura,,
Túrkeve,"7 859,00",https://hu.wikipedia.org/wiki/Túrkeve,,
Jánoshalma,"7 984,00",https://hu.wikipedia.org/wiki/Jánoshalma,,
Ercsi,"8 136,00",https://hu.wikipedia.org/wiki/Ercsi,,
Dunaföldvár,"8 176,00",https://hu.wikipedia.org/wiki/Dunaföldvár,,
Sándorfalva,"8 267,00",https://hu.wikipedia.org/wiki/Sándorfalva,,
Szerencs,"8 445,00",http://hu.wikipedia.org/wiki/Szerencs,,
Pásztó,"8 545,00",https://hu.wikipedia.org/wiki/Pásztó,,
Siklós,"8 700,00",https://hu.wikipedia.org/wiki/Siklós,,
Nagyatád,"9 508,00",https://hu.wikipedia.org/wiki/Nagyatád,,
Csorna,"9 680,00",https://hu.wikipedia.org/wiki/Csorna,,
Barcs,"9 845,00",https://hu.wikipedia.org/wiki/Barcs,,
Kapuvár,"9 953,00",https://hu.wikipedia.org/wiki/Kapuvár,,
Körmend,"10 255,00",https://hu.wikipedia.org/wiki/Körmend,,
Gúta,"10 572,00",https://hu.wikipedia.org/wiki/Gúta,,
Budatétény,"10 715,00",https://hu.wikipedia.org/wiki/Budatétény,,
Sajószentpéter,"11 274,00",https://hu.wikipedia.org/wiki/Sajószentpéter,,
Dorog,"11 424,00",https://hu.wikipedia.org/wiki/Dorog,,
Sárbogárd,"11 475,00",https://hu.wikipedia.org/wiki/Sárbogárd,,
Kiskunmajsa,"11 675,00",https://hu.wikipedia.org/wiki/Kiskunmajsa,,
Kőszeg,"11 723,00",https://hu.wikipedia.org/wiki/Kőszeg,,
Pilis,"11 827,00",http://hu.wikipedia.org/wiki/Pilis_(telep%C3%BCl%C3%A9s),,
Nagytétény,"12 045,00",https://hu.wikipedia.org/wiki/Nagytétény,,
Bonyhád,"12 163,00",https://hu.wikipedia.org/wiki/Bonyhád,,
Újfehértó,"12 218,00",https://hu.wikipedia.org/wiki/Újfehértó,,
Freyming-Merlebach,"13 027,00",https://hu.wikipedia.org/wiki/Freyming-Merlebach,,
Sátoraljaújhely,"13 122,00",http://hu.wikipedia.org/wiki/S%C3%A1toralja%C3%BAjhely,,
Püspökladány,"13 180,00",https://hu.wikipedia.org/wiki/Püspökladány,,
Mór,"13 547,00",http://hu.wikipedia.org/wiki/M%C3%B3r_(telep%C3%BCl%C3%A9s),,
Balassagyarmat,"14 036,00",https://hu.wikipedia.org/wiki/Balassagyarmat,,
Berettyóújfalu,"14 040,00",https://hu.wikipedia.org/wiki/Berettyóújfalu,,
Tapolca,"14 206,00",https://hu.wikipedia.org/wiki/Tapolca,,
Kalocsa,"14 619,00",https://hu.wikipedia.org/wiki/Kalocsa,,
Kisvárda,"14 990,00",https://hu.wikipedia.org/wiki/Kisvárda,,
Sárvár,"15 003,00",https://hu.wikipedia.org/wiki/Sárvár,,
Sashalom,"15 288,00",https://hu.wikipedia.org/wiki/Sashalom,,
Mátészalka,"15 351,00",https://hu.wikipedia.org/wiki/Mátészalka,,
Hajdúnánás,"16 214,00",https://hu.wikipedia.org/wiki/Hajdúnánás,,
Dombóvár,"17 300,00",https://hu.wikipedia.org/wiki/Dombóvár,,
Mohács,"17 315,00",https://hu.wikipedia.org/wiki/Mohács,,
Apatin,"17 411,00",https://hu.wikipedia.org/wiki/Apatin,,
Dabas,"17 527,00",https://hu.wikipedia.org/wiki/Dabas,,
Békés,"17 726,00",https://hu.wikipedia.org/wiki/Békés,,
Paks,"17 827,00",https://hu.wikipedia.org/wiki/Paks,,
Keszthely,"18 031,00",https://hu.wikipedia.org/wiki/Keszthely,,
Oroszlány,"18 064,00",https://hu.wikipedia.org/wiki/Oroszlány,,
Diósgyőr,"18 065,00",https://hu.wikipedia.org/wiki/Diósgyőr,,
Pomáz,"18 419,00",https://hu.wikipedia.org/wiki/Pomáz,,
Karcag,"18 495,00",https://hu.wikipedia.org/wiki/Karcag,,
Vulkán,"18 527,00",http://hu.wikipedia.org/wiki/Vulk%C3%A1n_(Hunyad_megye),,
Várpalota,"19 624,00",https://hu.wikipedia.org/wiki/Várpalota,,
Zenta,"20 302,00",https://hu.wikipedia.org/wiki/Zenta,,
Hatvan,"20 480,00",https://hu.wikipedia.org/wiki/Hatvan,,
Fót,"20 975,00",https://hu.wikipedia.org/wiki/Fót,,
Vecsés,"21 352,00",https://hu.wikipedia.org/wiki/Vecsés,,
Komló,"21 854,00",http://hu.wikipedia.org/wiki/Koml%C3%B3_(telep%C3%BCl%C3%A9s),,
Makó,"21 913,00",https://hu.wikipedia.org/wiki/Makó,,
Soroksár,"22 300,00",http://hu.wikipedia.org/wiki/Budapest_XXIII._ker%C3%BClete,,
Rákosszentmihály,"23 098,00",https://hu.wikipedia.org/wiki/Rákosszentmihály,,
Tőketerebes,"23 213,00",https://hu.wikipedia.org/wiki/Tőketerebes,,
Beregszász,"23 325,00",https://hu.wikipedia.org/wiki/Beregszász,,
Tatatóváros,"23 881,00",https://hu.wikipedia.org/wiki/Tatatóváros,,
Verbász,"24 112,00",https://hu.wikipedia.org/wiki/Verbász,,
Kazincbarcika,"24 373,00",https://hu.wikipedia.org/wiki/Kazincbarcika,,
Siófok,"24 390,00",https://hu.wikipedia.org/wiki/Siófok,,
Szentes,"25 417,00",https://hu.wikipedia.org/wiki/Szentes,,
Orosháza,"25 472,00",https://hu.wikipedia.org/wiki/Orosháza,,
Récse,"25 733,00",https://hu.wikipedia.org/wiki/Récse,,
Losonc,"25 902,00",https://hu.wikipedia.org/wiki/Losonc,,
Jászberény,"26 058,00",https://hu.wikipedia.org/wiki/Jászberény,,
Kiskunhalas,"26 215,00",https://hu.wikipedia.org/wiki/Kiskunhalas,,
Szarvas,"26 215,00",http://hu.wikipedia.org/wiki/Kiskunhalas,,
Ajka,"26 643,00",https://hu.wikipedia.org/wiki/Ajka,,
Budafok,"26 782,00",https://hu.wikipedia.org/wiki/Budafok,,
Gyula,"28 090,00",http://hu.wikipedia.org/wiki/Gyula_(Magyarorsz%C3%A1g),,
Szentendre,"28 494,00",https://hu.wikipedia.org/wiki/Szentendre,,
Esztergom,"28 680,00",http://hu.wikipedia.org/wiki/Esztergom,,
Pápa,"28 789,00",http://hu.wikipedia.org/wiki/P%C3%A1pa_(telep%C3%BCl%C3%A9s),,
Kiskunfélegyháza,"28 803,00",https://hu.wikipedia.org/wiki/Kiskunfélegyháza,,
Palánka,"29 449,00",http://hu.wikipedia.org/wiki/Pal%C3%A1nka_(Szerbia),,
Hajdúböszörmény,"29 574,00",https://hu.wikipedia.org/wiki/Hajdúböszörmény,,
Szekszárd,"30 057,00",https://hu.wikipedia.org/wiki/Szekszárd,,
Bánszállás,"30 865,00",http://hu.wikipedia.org/wiki/%C3%93zd#Bánszállás,,
Ózd,"30 865,00",https://hu.wikipedia.org/wiki/Ózd,,
Salgótarján,"31 223,00",https://hu.wikipedia.org/wiki/Salgótarján,,
Komárom,"32 287,00",http://hu.wikipedia.org/wiki/Kom%C3%A1rom_(Szlov%C3%A1kia),,
Gödöllő,"32 688,00",https://hu.wikipedia.org/wiki/Gödöllő,,
Baja,"33 142,00",https://hu.wikipedia.org/wiki/Baja,,
Vác,"34 040,00",https://hu.wikipedia.org/wiki/Vác,,
Mosonmagyaróvár,"34 226,00",https://hu.wikipedia.org/wiki/Mosonmagyaróvár,,
Stanferd,"35 515,00",https://en.wikipedia.org/wiki/Torrington_Connecticut,,
Versec,"35 701,00",https://hu.wikipedia.org/wiki/Versec,,
Cegléd,"36 344,00",https://hu.wikipedia.org/wiki/Cegléd,,
Rákospalota,"38 530,00",https://hu.wikipedia.org/wiki/Rákospalota,,
Dunaújváros,"41 873,00",https://hu.wikipedia.org/wiki/Dunaújváros,,
Hódmezővásárhely,"41 944,00",https://hu.wikipedia.org/wiki/Hódmezővásárhely,,
Zólyom,"42 476,00",https://hu.wikipedia.org/wiki/Zólyom,,
Nagykanizsa,"43 188,00",https://hu.wikipedia.org/wiki/Nagykanizsa,,
Bród,"45 005,00",https://hu.wikipedia.org/wiki/Bród,,
Cornélio Procópio,"47 842,00",https://en.wikipedia.org/wiki/Cornélio_Procópio,,
Eger,"50 018,00",https://hu.wikipedia.org/wiki/Eger,,
Békéscsaba,"55 091,00",https://hu.wikipedia.org/wiki/Békéscsaba,,
Zalaegerszeg,"55 433,00",https://hu.wikipedia.org/wiki/Zalaegerszeg,,
Veszprém,"56 777,00",https://hu.wikipedia.org/wiki/Veszprém,,
Kaposvár,"59 270,00",https://hu.wikipedia.org/wiki/Kaposvár,,
Sopron,"61 784,00",https://hu.wikipedia.org/wiki/Sopron,,
Tatabánya,"65 874,00",https://hu.wikipedia.org/wiki/Tatabánya,,
Szolnok,"67 126,00",https://hu.wikipedia.org/wiki/Szolnok,,
Szombathely,"78 446,00",https://hu.wikipedia.org/wiki/Szombathely,,
Gyöngyösszőlős,"78 446,00",https://hu.wikipedia.org/wiki/Gyöngyösszőlős,,
Bury,"81 101,00","https://en.wikipedia.org/wiki/Bury,_Greater_Manchester",,
Székesfehérvár,"95 915,00",https://hu.wikipedia.org/wiki/Székesfehérvár,,
Kaiserslautern,"101 228,00",https://hu.wikipedia.org/wiki/Kaiserslautern,,
Szabadka,"105 681,00",https://hu.wikipedia.org/wiki/Szabadka,,
Nagybánya,"107 434,00",https://hu.wikipedia.org/wiki/Nagybánya,,
Fiume,"107 964,00",https://hu.wikipedia.org/wiki/Fiume,,
Kecskemét,"109 731,00",https://hu.wikipedia.org/wiki/Kecskemét,,
Ungvár,"115 449,00",https://hu.wikipedia.org/wiki/Ungvár,,
Marosvásárhely,"115 493,00",https://hu.wikipedia.org/wiki/Marosvásárhely,,
Nyíregyháza,"115 711,00",https://hu.wikipedia.org/wiki/Nyíregyháza,,
Újpest,"116 057,00",http://hu.wikipedia.org/wiki/%C3%9Ajpest_(t%C3%B6rt%C3%A9nelmi_telep%C3%BCl%C3%A9s),,
Győr,"130 020,00",https://hu.wikipedia.org/wiki/Győr,,
Innsbruck,"130 585,00",https://hu.wikipedia.org/wiki/Innsbruck,,
Pécs,"141 031,00",http://hu.wikipedia.org/wiki/P%C3%A9cs,,
Arad,"145 078,00",http://hu.wikipedia.org/wiki/Arad_(Rom%C3%A1nia),,
Miskolc,"145 248,00",https://hu.wikipedia.org/wiki/Miskolc,,
Kragujevac,"150 623,00",https://hu.wikipedia.org/wiki/Kragujevac,,
Szeged,"158 829,00",https://hu.wikipedia.org/wiki/Szeged,,
Nagyvárad,"183 105,00",https://hu.wikipedia.org/wiki/Nagyvárad,,
Debrecen,"201 582,00",https://hu.wikipedia.org/wiki/Debrecen,,
Kassa,"229 040,00",https://hu.wikipedia.org/wiki/Kassa,,
Brassó,"237 315,00",https://hu.wikipedia.org/wiki/Brassó,,
Temesvár,"250 849,00",https://hu.wikipedia.org/wiki/Temesvár,,
Kolozsvár,"286 598,00",https://hu.wikipedia.org/wiki/Kolozsvár,,
Pozsony,"475 503,00",https://hu.wikipedia.org/wiki/Pozsony,,
Kaduna,"760 084,00",https://hu.wikipedia.org/wiki/Kaduna,,
Frankfurt am Main,"773 068,00",https://hu.wikipedia.org/wiki/Frankfurt_am_Main,,
Budapest,"1 671 004,00",https://hu.wikipedia.org/wiki/Budapest,,
?,"1 671 004,00",http://hu.wikipedia.org/wiki/Budapest,,
Kámon,"1 671 004,00",http://hu.wikipedia.org/wiki/Budapest,,
Pestszentlőrinc,"1 671 004,00",http://hu.wikipedia.org/wiki/Budapest,,
Bécs,"1 973 403,00",http://hu.wikipedia.org/wiki/B%C3%A9cs,,
Párizs,"2 145 906,00",https://hu.wikipedia.org/wiki/Párizs,,
Berlin,"3 755 251,00",https://hu.wikipedia.org/wiki/Berlin,,
Fokváros,"3 776 313,00",https://hu.wikipedia.org/wiki/Fokváros,,
,"9 603 634,00",http://hu.wikipedia.org/wiki/Magyarorsz%C3%A1g,,
São Paulo,"11 451 245,00",https://hu.wikipedia.org/wiki/São_Paulo,,
Lagos,"15 070 000,00",https://hu.wikipedia.org/wiki/Lagos,,
Malacka,"18 935,00",https://hu.wikipedia.org/wiki/Malacka,,m
Rákosfalva,"3 000,00",https://hu.wikipedia.org/wiki/Rákosfalva,BP,m
Solt,"5 990,00",https://hu.wikipedia.org/wiki/Solt,,m
Újdombóvár,"17 300,00",http://hu.wikipedia.org/wiki/%C3%9Ajdomb%C3%B3v%C3%A1r,Dombóvár,m
Mocsolád,"301,00",http://hu.wikipedia.org/wiki/Mocsol%C3%A1d,,m
Kispest,"50 000,00",http://hu.wikipedia.org/wiki/Kispest,BP,m
Gyón,"17 527,00",http://hu.wikipedia.org/wiki/Gy%C3%B3n,Dabas,m
Tolcsva,"1 517,00",https://hu.wikipedia.org/wiki/Tolcsva,,m
Nagybátony,"11 284,00",http://hu.wikipedia.org/wiki/Nagyb%C3%A1tony,Bátonyterenye,m
Felsőgalla,"2 500,00",http://hu.wikipedia.org/wiki/Fels%C5%91galla,,m
Csepel,0,http://hu.wikipedia.org/wiki/Csepel_(t%C3%B6rt%C3%A9nelmi_telep%C3%BCl%C3%A9s),BP,m
Kiskálna,"471,00",http://hu.wikipedia.org/wiki/Kisk%C3%A1lna,Kálna,m
Tápé,"4 708,00",http://hu.wikipedia.org/wiki/T%C3%A1p%C3%A9,Szeged,m
Pestszenterzsébet,"40 000,00",http://hu.wikipedia.org/wiki/Pestszenterzs%C3%A9bet,BP,m
Szőny,"3 000,00",http://hu.wikipedia.org/wiki/Sz%C5%91ny,Komárom,m
Torrington,8360,"https://en.wikipedia.org/wiki/Torrington,_Connecticut",,m