name,city,population,wiki,birth_date
Aczél Zoltán,Budapest,1671004 ,https://hu.wikipedia.org/wiki/Budapest,1967.03.13
Ádám Martin,Szeged,158829 ,https://hu.wikipedia.org/wiki/Szeged,1994.11.06
Ádám Sándor,?,Page not found,,1918.02.10
Aknai Jenő,Budapest,1671004 ,https://hu.wikipedia.org/wiki/Budapest,1908.04.19
Albert Flórián,Hercegszántó,1645 ,https://hu.wikipedia.org/wiki/Hercegszántó,1941.09.15
Albert Flórián ifj.,Budapest,1671004 ,https://hu.wikipedia.org/wiki/Budapest,1967.12.12
Amsel Ignác,Kispest,,https://hu.wikipedia.org/wiki/Kispest,1899.01.17
Andrusch József,Budapest,1671004 ,https://hu.wikipedia.org/wiki/Budapest,1956.03.31
Arany László,Tatabánya,65874 ,https://hu.wikipedia.org/wiki/Tatabánya,1971.03.09
Aranyos Imre,Kisvárda,14990 ,https://hu.wikipedia.org/wiki/Kisvárda,1966.06.13
Aspirány Gusztáv,Budapest,1671004 ,https://hu.wikipedia.org/wiki/Budapest,1925.09.17
Avar István,Arad,City data not found,https://hu.wikipedia.org/wiki/Arad,1905.05.30
Babolcsay György,Sashalom,15288 ,https://hu.wikipedia.org/wiki/Sashalom,1921.12.26
Babos Gábor,Sopron,61784 ,https://hu.wikipedia.org/wiki/Sopron,1974.10.24
Bácsi Sándor,Budapest,1671004 ,https://hu.wikipedia.org/wiki/Budapest,1969.11.26
Bádonyi Gyula,Szerencs,,https://hu.wikipedia.org/wiki/Szerencs,1882.09.17
Bakó Béla,Szeged,158829 ,https://hu.wikipedia.org/wiki/Szeged,1928.11.19
Bakos Sándor,Budapest,1671004 ,https://hu.wikipedia.org/wiki/Budapest,1939.08.02
Bálint László,Budapest,1671004 ,https://hu.wikipedia.org/wiki/Budapest,1948.02.01
Balog Tibor,Kakucs,3150 ,https://hu.wikipedia.org/wiki/Kakucs,1966.03.01
Balog Tibor,Kiskunmajsa,11675 ,https://hu.wikipedia.org/wiki/Kiskunmajsa,1963.08.31
Balog Zoltán,Budapest,1671004 ,https://hu.wikipedia.org/wiki/Budapest,1967.11.06
Balog Zoltán,Békés,17726 ,https://hu.wikipedia.org/wiki/Békés,1978.02.22
Balogh Balázs,Budapest,1671004 ,https://hu.wikipedia.org/wiki/Budapest,1990.06.11
Balogh Béla,Budapest,1671004 ,https://hu.wikipedia.org/wiki/Budapest,1984.12.30
Balogh Botond,Sopron,61784 ,https://hu.wikipedia.org/wiki/Sopron,2002.06.06
Balogh István,Budapest,1671004 ,https://hu.wikipedia.org/wiki/Budapest,1912.09.21
Balogh János,Debrecen,201582 ,https://hu.wikipedia.org/wiki/Debrecen,1982.11.29
Balogh Miklós,Porcsalma,2576 ,https://hu.wikipedia.org/wiki/Porcsalma,1914.01.01
Balogh Norbert,Hajdúböszörmény,29574 ,https://hu.wikipedia.org/wiki/Hajdúböszörmény,1996.02.21
Balogh Sándor,Gyón,,https://hu.wikipedia.org/wiki/Gyón,1920.03.18
Balogh Tamás,Budapest,1671004 ,https://hu.wikipedia.org/wiki/Budapest,1967.09.06
Bánfi János,Újkígyós,4683 ,https://hu.wikipedia.org/wiki/Újkígyós,1969.11.09
Bánkuti István,Budafok,26782 ,https://hu.wikipedia.org/wiki/Budafok,1946.11.12
Bányai Nándor,Budapest,1671004 ,https://hu.wikipedia.org/wiki/Budapest,1928.03.08
Baranyi Miklós,Oroszlány,18064 ,https://hu.wikipedia.org/wiki/Oroszlány,1969.09.06
Baranyi Sándor,Győr,130020 ,https://hu.wikipedia.org/wiki/Győr,1953.08.14
Bárányos Zsolt,Budapest,1671004 ,https://hu.wikipedia.org/wiki/Budapest,1975.12.15
Baráth Botond,Budapest,1671004 ,https://hu.wikipedia.org/wiki/Budapest,1992.04.21
Baráth Péter,Kisvárda,14990 ,https://hu.wikipedia.org/wiki/Kisvárda,2002.02.21
Barátky Gyula,Nagyvárad,183105 ,https://hu.wikipedia.org/wiki/Nagyvárad,1910.10.18
Bárd István,Fiume,107964 ,https://hu.wikipedia.org/wiki/Fiume,1882.08.19
Baróti Lajos,Barót,4753 ,https://hu.wikipedia.org/wiki/Barót,1914.08.19
Bartos Béla,Budapest,1671004 ,https://hu.wikipedia.org/wiki/Budapest,1902.04.04
Baubach Béla,Újpest,City data not found,https://hu.wikipedia.org/wiki/Újpest,1895.04.03
Bayer Jenő,Budapest,1671004 ,https://hu.wikipedia.org/wiki/Budapest,1884.11.17
Becsei József,Budapest,1671004 ,https://hu.wikipedia.org/wiki/Budapest,1950.10.10
Béky Bertalan,Budapest,1671004 ,https://hu.wikipedia.org/wiki/Budapest,1913.08.29
Bencsics József,Szombathely,78446 ,https://hu.wikipedia.org/wiki/Szombathely,1933.07.19
Bene Ferenc,Balatonújlak,445 ,https://hu.wikipedia.org/wiki/Balatonújlak,1944.12.17
Beneda István,Budapest,1671004 ,https://hu.wikipedia.org/wiki/Budapest,1904.02.04
Berán József,Budapest,1671004 ,https://hu.wikipedia.org/wiki/Budapest,1883.11.05
Bérczy Balázs,Pécs,,https://hu.wikipedia.org/wiki/Pécs,1966.01.15
Berecz István,?,Page not found,,1913.12.10
Berecz Zsombor,Miskolc,145248 ,https://hu.wikipedia.org/wiki/Miskolc,1995.12.13
Berendi Pál,Budapest,1671004 ,https://hu.wikipedia.org/wiki/Budapest,1932.11.30
Berkessy Elemér,Nagyvárad,183105 ,https://hu.wikipedia.org/wiki/Nagyvárad,1905.06.20
Bese Barnabás,Budapest,1671004 ,https://hu.wikipedia.org/wiki/Budapest,1994.05.06
Bicskei Bertalan,Budapest,1671004 ,https://hu.wikipedia.org/wiki/Budapest,1944.09.17
Bienenstock Sándor,Budapest,1671004 ,https://hu.wikipedia.org/wiki/Budapest,1884.06.17
Bihámi Béla,Budapest,1671004 ,https://hu.wikipedia.org/wiki/Budapest,1909.10.23
Bihari Ferenc,Budapest,1671004 ,https://hu.wikipedia.org/wiki/Budapest,1889.11.30
Biri János,Budapest,1671004 ,https://hu.wikipedia.org/wiki/Budapest,1901.07.21
Bíró Gyula,Budapest,1671004 ,https://hu.wikipedia.org/wiki/Budapest,1890.04.25
Bíró Sándor,Füzesabony,7170 ,https://hu.wikipedia.org/wiki/Füzesabony,1911.08.19
Blazsek Ferenc,Budapest,1671004 ,https://hu.wikipedia.org/wiki/Budapest,1884.09.20
Blum Zoltán,Pápa,City data not found,https://hu.wikipedia.org/wiki/Pápa,1892.01.03
Bobrik Károly,Budapest,1671004 ,https://hu.wikipedia.org/wiki/Budapest,1900.06.13
Boda Imre,Szolnok,67126 ,https://hu.wikipedia.org/wiki/Szolnok,1961.10.10
Böde Dániel,Szekszárd,30057 ,https://hu.wikipedia.org/wiki/Szekszárd,1986.10.24
Bódi Ádám,Nyíregyháza,115711 ,https://hu.wikipedia.org/wiki/Nyíregyháza,1990.10.18
Bodnár László,Bánszállás,,https://hu.wikipedia.org/wiki/Bánszállás,1959.03.05
Bodnár László,Mátészalka,15351 ,https://hu.wikipedia.org/wiki/Mátészalka,1979.02.25
Bodnár Sándor,Budapest,1671004 ,https://hu.wikipedia.org/wiki/Budapest,1890.09.20
Bódog Tamás,Dunaújváros,41873 ,https://hu.wikipedia.org/wiki/Dunaújváros,1970.09.27
Bodola Gyula,Brassó,237315 ,https://hu.wikipedia.org/wiki/Brassó,1912.02.26
Bodon Tibor,Salgótarján,31223 ,https://hu.wikipedia.org/wiki/Salgótarján,1931.07.18
Bodonyi Béla,Jászdózsa,2050 ,https://hu.wikipedia.org/wiki/Jászdózsa,1956.12.14
Bodor Boldizsár,Pécs,,https://hu.wikipedia.org/wiki/Pécs,1982.04.27
Bödör László,Budapest,1671004 ,https://hu.wikipedia.org/wiki/Budapest,1933.08.17
Bodor Ödön,Kapuvár,9953 ,https://hu.wikipedia.org/wiki/Kapuvár,1882.10.24
Bogdán Ádám,Budapest,1671004 ,https://hu.wikipedia.org/wiki/Budapest,1987.09.27
Bognár György,Baja,33142 ,https://hu.wikipedia.org/wiki/Baja,1961.11.05
Bognár Zoltán,Körmend,10255 ,https://hu.wikipedia.org/wiki/Körmend,1965.06.25
Böjte Attila,Győr,130020 ,https://hu.wikipedia.org/wiki/Győr,1976.09.02
Böjti János,Keszthely,18031 ,https://hu.wikipedia.org/wiki/Keszthely,1891.05.01
Boldizsár Géza,Budafok,26782 ,https://hu.wikipedia.org/wiki/Budafok,1919.06.01
Bolla Bendegúz,Székesfehérvár,95915 ,https://hu.wikipedia.org/wiki/Székesfehérvár,1999.11.22
Böőr Zoltán,Debrecen,201582 ,https://hu.wikipedia.org/wiki/Debrecen,1978.08.14
Borbás Gáspár dr.,Budapest,1671004 ,https://hu.wikipedia.org/wiki/Budapest,1884.07.26
Bordás Csaba,Sopron,61784 ,https://hu.wikipedia.org/wiki/Sopron,1968.03.21
Bori Gábor,Szombathely,78446 ,https://hu.wikipedia.org/wiki/Szombathely,1984.01.16
Borisz Győző,Budapest,1671004 ,https://hu.wikipedia.org/wiki/Budapest,1895.12.14
Borostyán Mihály,Sajószentpéter,11274 ,https://hu.wikipedia.org/wiki/Sajószentpéter,1956.09.17
Borsányi Ferenc,Budapest,1671004 ,https://hu.wikipedia.org/wiki/Budapest,1902.12.03
Borsányi György,Újpest,City data not found,https://hu.wikipedia.org/wiki/Újpest,1933.02.04
Borsó János,Pécs,,https://hu.wikipedia.org/wiki/Pécs,1953.04.18
Börzsei János,Budapest,1671004 ,https://hu.wikipedia.org/wiki/Budapest,1921.10.09
Bošnjak Predrag,Szabadka,105681 ,https://hu.wikipedia.org/wiki/Szabadka,1985.11.13
Bosnyákovits Károly,Budapest,1671004 ,https://hu.wikipedia.org/wiki/Budapest,1887.05.27
Botka Endre,Budapest,1671004 ,https://hu.wikipedia.org/wiki/Budapest,1994.08.25
Bozsik József,Kispest,,https://hu.wikipedia.org/wiki/Kispest,1925.11.28
Branikovits László,Budapest,1671004 ,https://hu.wikipedia.org/wiki/Budapest,1949.12.18
Braun Ferenc,Budapest,1671004 ,https://hu.wikipedia.org/wiki/Budapest,1885.01.02
Braun József,Putnok,6363 ,https://hu.wikipedia.org/wiki/Putnok,1901.02.26
Brockhauser István,Budapest,1671004 ,https://hu.wikipedia.org/wiki/Budapest,1964.05.03
Bródy Sándor,Székelyfalva,1755 ,https://hu.wikipedia.org/wiki/Székelyfalva,1884.05.16
Bücs Zsolt,Mátészalka,15351 ,https://hu.wikipedia.org/wiki/Mátészalka,1963.09.08
Buda István,Budapest,1671004 ,https://hu.wikipedia.org/wiki/Budapest,1884.02.03
Budai László,Budapest,1671004 ,https://hu.wikipedia.org/wiki/Budapest,1928.07.19
Budavári László,Budapest,1671004 ,https://hu.wikipedia.org/wiki/Budapest,1953.08.03
Bukovi Márton,Budapest,1671004 ,https://hu.wikipedia.org/wiki/Budapest,1903.12.01
Bukrán Gábor,Eger,50018 ,https://hu.wikipedia.org/wiki/Eger,1975.11.16
Bükszegi Zoltán,Budapest,1671004 ,https://hu.wikipedia.org/wiki/Budapest,1975.12.16
Bundzsák Dezső,Kiskunhalas,26215 ,https://hu.wikipedia.org/wiki/Kiskunhalas,1928.05.03
Burcsa Győző,Kaposvár,59270 ,https://hu.wikipedia.org/wiki/Kaposvár,1954.03.13
Buza Lajos,Újpest,City data not found,https://hu.wikipedia.org/wiki/Újpest,1901.06.26
Buzánszky Jenő,Újdombóvár,City data not found,https://hu.wikipedia.org/wiki/Újdombóvár,1925.05.04
Buzsáky Ákos,Budapest,1671004 ,https://hu.wikipedia.org/wiki/Budapest,1982.05.07
Csábi József,Szolnok,67126 ,https://hu.wikipedia.org/wiki/Szolnok,1967.02.14
Csapó Károly,Agyagosszergény,936 ,https://hu.wikipedia.org/wiki/Agyagosszergény,1952.02.23
Cseh András,Nagyszénás,4416 ,https://hu.wikipedia.org/wiki/Nagyszénás,1964.01.15
Cseh László,Budapest,1671004 ,https://hu.wikipedia.org/wiki/Budapest,1910.04.04
Csehi Tibor,Kalocsa,14619 ,https://hu.wikipedia.org/wiki/Kalocsa,1963.03.27
Cseri Tamás,Győr,130020 ,https://hu.wikipedia.org/wiki/Győr,1988.01.15
Csernai Pál,Pilis,City data not found,https://hu.wikipedia.org/wiki/Pilis,1932.10.21
Csertői Aurél,Győr,130020 ,https://hu.wikipedia.org/wiki/Győr,1965.09.25
Csík Ferenc,Veszprém,56777 ,https://hu.wikipedia.org/wiki/Veszprém,1962.06.06
Csikós Gyula,Budapest,1671004 ,https://hu.wikipedia.org/wiki/Budapest,1913.04.15
Csizmadia Csaba,Marosvásárhely,115493 ,https://hu.wikipedia.org/wiki/Marosvásárhely,1985.05.30
Csoboth Kevin,Pécs,,https://hu.wikipedia.org/wiki/Pécs,2000.06.20
Csongrádi Ferenc,Apácatorna,139 ,https://hu.wikipedia.org/wiki/Apácatorna,1956.03.29
Csonka Gyula,Győr,130020 ,https://hu.wikipedia.org/wiki/Győr,1958.05.12
Csontos Kálmán,Récse,25733 ,https://hu.wikipedia.org/wiki/Récse,1899.02.24
Csordás Lajos,Budafok,26782 ,https://hu.wikipedia.org/wiki/Budafok,1932.10.26
Csucsánszky Zoltán,Budapest,1671004 ,https://hu.wikipedia.org/wiki/Budapest,1965.10.17
Csüdör Ferenc,Budapest,1671004 ,https://hu.wikipedia.org/wiki/Budapest,1887.02.10
Csuhay József,Eger,50018 ,https://hu.wikipedia.org/wiki/Eger,1957.07.12
Czeczeli Károly,Barcs,9845 ,https://hu.wikipedia.org/wiki/Barcs,1951.12.04
Czéh László,Kecskemét,109731 ,https://hu.wikipedia.org/wiki/Kecskemét,1968.02.01
Czibor Zoltán,Kaposvár,59270 ,https://hu.wikipedia.org/wiki/Kaposvár,1929.08.23
Czvitkovics Péter,Székesfehérvár,95915 ,https://hu.wikipedia.org/wiki/Székesfehérvár,1983.02.10
Dajka László,Nyíregyháza,115711 ,https://hu.wikipedia.org/wiki/Nyíregyháza,1959.04.29
Dalnoki Jenő,Budapest,1671004 ,https://hu.wikipedia.org/wiki/Budapest,1932.12.12
Dán Vilmos,Stájerlakanina,4383 ,https://hu.wikipedia.org/wiki/Stájerlakanina,1902.09.10
Danka Imre,Szombathely,78446 ,https://hu.wikipedia.org/wiki/Szombathely,1930.12.24
Dárdai Márton,Berlin,3755251 ,https://hu.wikipedia.org/wiki/Berlin,2002.02.12
Dárdai Pál,Pécs,,https://hu.wikipedia.org/wiki/Pécs,1976.03.16
Dárdai Pál,Berlin,3755251 ,https://hu.wikipedia.org/wiki/Berlin,1999.04.24
Deák Ferenc,Budapest,1671004 ,https://hu.wikipedia.org/wiki/Budapest,1922.01.16
Debreceni András,Nagykanizsa,43188 ,https://hu.wikipedia.org/wiki/Nagykanizsa,1989.04.21
Dénes József,Kispest,,https://hu.wikipedia.org/wiki/Kispest,1905.05.04
Déri Károly,Budapest,1671004 ,https://hu.wikipedia.org/wiki/Budapest,1910.09.26
Détári Lajos,Budapest,1671004 ,https://hu.wikipedia.org/wiki/Budapest,1963.04.24
Deutsch Árpád,?,Page not found,,1894.10.01
Devecseri Szilárd,Szombathely,78446 ,https://hu.wikipedia.org/wiki/Szombathely,1990.02.13
Dibusz Dénes,Pécs,,https://hu.wikipedia.org/wiki/Pécs,1990.11.16
Disztl László,Baja,33142 ,https://hu.wikipedia.org/wiki/Baja,1962.06.04
Disztl Péter,Baja,33142 ,https://hu.wikipedia.org/wiki/Baja,1960.03.30
Dobó Gyula,Budapest,1671004 ,https://hu.wikipedia.org/wiki/Budapest,1890.10.09
Dobos Károly,Budapest,1671004 ,https://hu.wikipedia.org/wiki/Budapest,1901.11.29
Dombi Tibor,Püspökladány,13180 ,https://hu.wikipedia.org/wiki/Püspökladány,1973.11.11
Domonkos László,Budapest,1671004 ,https://hu.wikipedia.org/wiki/Budapest,1886.10.10
Dragóner Attila,Budapest,1671004 ,https://hu.wikipedia.org/wiki/Budapest,1974.11.15
Drössler Béla,?,Page not found,,1903.02.23
Dudás Gyula,Budapest,1671004 ,https://hu.wikipedia.org/wiki/Budapest,1902.01.07
Dudás János,Budapest,1671004 ,https://hu.wikipedia.org/wiki/Budapest,1911.01.11
Dudás Zoltán,Miskolc,145248 ,https://hu.wikipedia.org/wiki/Miskolc,1933.08.11
Dunai Antal,Gara,City data not found,https://hu.wikipedia.org/wiki/Gara,1943.03.21
Dunai Ede,Budapest,1671004 ,https://hu.wikipedia.org/wiki/Budapest,1949.07.14
Dunai János,Gara,City data not found,https://hu.wikipedia.org/wiki/Gara,1937.06.26
Dunai Lajos,Budapest,1671004 ,https://hu.wikipedia.org/wiki/Budapest,1942.11.29
Duró József,Berettyóújfalu,14040 ,https://hu.wikipedia.org/wiki/Berettyóújfalu,1966.07.26
Dürr Antal,Budapest,1671004 ,https://hu.wikipedia.org/wiki/Budapest,1890.05.13
Dvéri Zsolt,Székesfehérvár,95915 ,https://hu.wikipedia.org/wiki/Székesfehérvár,1976.08.12
Dzsudzsák Balázs,Debrecen,201582 ,https://hu.wikipedia.org/wiki/Debrecen,1986.12.23
Ebedli Zoltán,Budapest,1671004 ,https://hu.wikipedia.org/wiki/Budapest,1953.10.26
Éger László,Paks,17827 ,https://hu.wikipedia.org/wiki/Paks,1977.05.07
Egresi Béla,Szigetújfalu,2183 ,https://hu.wikipedia.org/wiki/Szigetújfalu,1922.04.05
Egressy Gábor,Budapest,1671004 ,https://hu.wikipedia.org/wiki/Budapest,1974.02.11
Eisenhoffer József,Budapest,1671004 ,https://hu.wikipedia.org/wiki/Budapest,1900.11.08
Elek Ákos,Ózd,30865 ,https://hu.wikipedia.org/wiki/Ózd,1988.07.21
Emődi Rezső,Újpest,City data not found,https://hu.wikipedia.org/wiki/Újpest,1903.03.09
Engel Vilmos,?,Page not found,,1894.03.11
Eőry Mihály,Nagykamarás,1114 ,https://hu.wikipedia.org/wiki/Nagykamarás,1909.09.21
Eppel Márton,Budapest,1671004 ,https://hu.wikipedia.org/wiki/Budapest,1991.11.20
Erős Károly,Cegléd,36344 ,https://hu.wikipedia.org/wiki/Cegléd,1971.12.20
Esterházy Márton,Budapest,1671004 ,https://hu.wikipedia.org/wiki/Budapest,1956.04.09
Eszenyi Dénes,Nyíregyháza,115711 ,https://hu.wikipedia.org/wiki/Nyíregyháza,1968.01.09
Fábián Tibor,Budapest,1671004 ,https://hu.wikipedia.org/wiki/Budapest,1946.07.26
Faragó Lajos,Budapest,1671004 ,https://hu.wikipedia.org/wiki/Budapest,1932.08.03
Farkas Balázs,Nyíregyháza,115711 ,https://hu.wikipedia.org/wiki/Nyíregyháza,1988.04.24
Farkas Balázs,Győr,130020 ,https://hu.wikipedia.org/wiki/Győr,1979.10.15
Farkas János,Budapest,1671004 ,https://hu.wikipedia.org/wiki/Budapest,1942.03.27
Farkas Simon,Ózd,30865 ,https://hu.wikipedia.org/wiki/Ózd,1965.12.14
Farkas Tibor,Kecskemét,109731 ,https://hu.wikipedia.org/wiki/Kecskemét,1957.03.04
Farkasházy László,Budapest,1671004 ,https://hu.wikipedia.org/wiki/Budapest,1968.01.27
Fatér Károly,Nyírlak,Page not found,,1940.04.09
Fazekas Árpád,Kámon,,https://hu.wikipedia.org/wiki/Kámon,1930.06.23
Fazekas László,Budapest,1671004 ,https://hu.wikipedia.org/wiki/Budapest,1947.10.15
Feczesin Róbert,Dabas,17527 ,https://hu.wikipedia.org/wiki/Dabas,1986.02.22
Fehér Csaba,Szekszárd,30057 ,https://hu.wikipedia.org/wiki/Szekszárd,1975.09.02
Fehér Ferenc,Budapest,1671004 ,https://hu.wikipedia.org/wiki/Budapest,1902.10.03
Fehér Miklós,Tatabánya,65874 ,https://hu.wikipedia.org/wiki/Tatabánya,1979.07.20
Fehéry Ákos,Fót,20975 ,https://hu.wikipedia.org/wiki/Fót,1882.08.15
Fejes Gábor,Budapest,1671004 ,https://hu.wikipedia.org/wiki/Budapest,1947.04.08
Fekete Jenő,Budapest,1671004 ,https://hu.wikipedia.org/wiki/Budapest,1910.07.28
Fekete László,Budapest,1671004 ,https://hu.wikipedia.org/wiki/Budapest,1954.04.14
Fekete Miklós,Budapest,1671004 ,https://hu.wikipedia.org/wiki/Budapest,1892.02.10
Feketeházy Gyula,Budapest,1671004 ,https://hu.wikipedia.org/wiki/Budapest,1888.08.04
Feldmann Gyula,Szeged,158829 ,https://hu.wikipedia.org/wiki/Szeged,1890.11.16
Fenyvesi László,Tolcsva,,https://hu.wikipedia.org/wiki/Tolcsva,1908.05.22
Fenyvesi Máté,Jánoshalma,7984 ,https://hu.wikipedia.org/wiki/Jánoshalma,1933.09.19
Ferenczi István,Győr,130020 ,https://hu.wikipedia.org/wiki/Győr,1977.09.14
Ferenczi János,Debrecen,201582 ,https://hu.wikipedia.org/wiki/Debrecen,1991.04.03
Ficzere Péter,Budapest,1671004 ,https://hu.wikipedia.org/wiki/Budapest,1889.06.08
Filkor Attila,Budapest,1671004 ,https://hu.wikipedia.org/wiki/Budapest,1988.07.12
Finta Károly,Nagygencs,2658 ,https://hu.wikipedia.org/wiki/Nagygencs,1914.06.11
Fiola Attila,Szekszárd,30057 ,https://hu.wikipedia.org/wiki/Szekszárd,1990.02.17
Fischer Lajos,Budapest,1671004 ,https://hu.wikipedia.org/wiki/Budapest,1901.03.18
Fischer Pál,Pilisszántó,2688 ,https://hu.wikipedia.org/wiki/Pilisszántó,1966.01.29
Fister Ferenc,Székesfehérvár,95915 ,https://hu.wikipedia.org/wiki/Székesfehérvár,1940.02.23
Fitos József,Nova,City data not found,https://hu.wikipedia.org/wiki/Nova,1959.11.04
Fodor Imre,Budapest,1671004 ,https://hu.wikipedia.org/wiki/Budapest,1963.03.16
Fogl József,Újpest,City data not found,https://hu.wikipedia.org/wiki/Újpest,1897.08.14
Fogl Károly,Újpest,City data not found,https://hu.wikipedia.org/wiki/Újpest,1895.01.19
Forró Gyula,Orosháza,25472 ,https://hu.wikipedia.org/wiki/Orosháza,1988.06.06
Friedrich István,Malacka,City data not found,https://hu.wikipedia.org/wiki/Malacka,1883.07.01
Fritz Alajos,Budapest,1671004 ,https://hu.wikipedia.org/wiki/Budapest,1885.06.21
Fröhlich Sándor,?,Page not found,,1897.09.11
Füle Antal,Esztergom,,https://hu.wikipedia.org/wiki/Esztergom,1966.11.26
Fülöp Márton,Budapest,1671004 ,https://hu.wikipedia.org/wiki/Budapest,1983.05.03
Furmann Károly,Budapest,1671004 ,https://hu.wikipedia.org/wiki/Budapest,1901.11.19
Futács Márkó,Budapest,1671004 ,https://hu.wikipedia.org/wiki/Budapest,1990.02.22
Futó Gyula,Újpest,City data not found,https://hu.wikipedia.org/wiki/Újpest,1908.12.29
Füzér János,Temesvár,250849 ,https://hu.wikipedia.org/wiki/Temesvár,1916.10.17
Füzi Ákos,Kapuvár,9953 ,https://hu.wikipedia.org/wiki/Kapuvár,1978.03.24
Füzi Gábor,Budapest,1671004 ,https://hu.wikipedia.org/wiki/Budapest,1916.10.15
G. Tóth Péter,Battonya,4966 ,https://hu.wikipedia.org/wiki/Battonya,1913.02.01
Gabrovitz Emil,Budapest,1671004 ,https://hu.wikipedia.org/wiki/Budapest,1876.02.09
Gallina Károly,Budapest,1671004 ,https://hu.wikipedia.org/wiki/Budapest,1907.11.05
Garaba Imre,Vác,34040 ,https://hu.wikipedia.org/wiki/Vác,1958.07.29
Gáspár József,Budapest,1671004 ,https://hu.wikipedia.org/wiki/Budapest,1955.06.28
Gazdag Dániel,Nyíregyháza,115711 ,https://hu.wikipedia.org/wiki/Nyíregyháza,1996.03.02
Géczi István,Sajóörös,1490 ,https://hu.wikipedia.org/wiki/Sajóörös,1944.03.16
Gelei József,Kunmadaras,4989 ,https://hu.wikipedia.org/wiki/Kunmadaras,1938.06.29
Gelei Károly,Budapest,1671004 ,https://hu.wikipedia.org/wiki/Budapest,1964.12.07
Gellér Sándor,Vesszős,1028 ,https://hu.wikipedia.org/wiki/Vesszős,1925.07.12
Gencsy Dezső,Budapest,1671004 ,https://hu.wikipedia.org/wiki/Budapest,1897.11.02
Gera Zoltán,Pécs,,https://hu.wikipedia.org/wiki/Pécs,1979.04.22
Géresi Krisztián,Székesfehérvár,95915 ,https://hu.wikipedia.org/wiki/Székesfehérvár,1994.06.14
Geress Zoltán,Budapest,1671004 ,https://hu.wikipedia.org/wiki/Budapest,1970.06.12
Gilicz István,Kaposvár,59270 ,https://hu.wikipedia.org/wiki/Kaposvár,1934.08.20
Gilly-Goldberger Pál,Bécs,,https://hu.wikipedia.org/wiki/Bécs,1881.01.14
Ging József,Budapest,1671004 ,https://hu.wikipedia.org/wiki/Budapest,1891.11.27
Gőcze Sándor,Tapolca,14206 ,https://hu.wikipedia.org/wiki/Tapolca,1921.11.29
Godán Lajos,Budapest,1671004 ,https://hu.wikipedia.org/wiki/Budapest,1952.01.21
